Rank,Player,Pos,Team,Bye,PosRank,PosTier,Tier,ECR,VBD,Upside,Bust,Risk,Depth,Backfield,Spread,Ranked,Rookie,Availability,Injury
222,Chris Manhertz,TE,NYG,8,TE127,26,26,,0,,,,3,,,no,,,
223,Laquon Treadwell,WR,IND,13,WR193,25,26,,0,,,,6,,,no,,,
224,Carson Wentz,QB,MIN,6,QB83,18,26,,0,,,,4,,,no,,,
225,Sterling Shepard,WR,HOU,8,WR164,21,26,,0,,,,8,,,no,,,
226,Austin Hooper,TE,ATL,11,TE75,16,26,,0,,,,2,,,no,,,
227,Bronson Kaufusi,TE,GB,11,TE68,15,26,,0,,,,,,,no,,,
228,Nick Vannett,TE,SEA,11,TE143,30,26,,0,,,,3,,,no,,,
229,Chris Moore,WR,BAL,13,WR342,44,26,,0,,,,6,,,no,,,
230,Tyler Higbee,TE,LAR,11,TE136,28,26,,0,,,,3,,,no,,,
231,Demarcus Robinson,WR,SF,8,WR299,38,26,,0,,,,6,,,no,,,
232,Wendell Smallwood,RB,WAS,7,RB84,11,26,,0,,,,,,,no,,,
233,Temarrick Hemingway,TE,WAS,7,TE201,41,26,,0,,,,,,,no,,,
234,Brandon Allen,QB,NYG,8,QB69,15,26,,0,,,,3,,,no,,,
235,Kalif Raymond,WR,CHI,10,WR239,31,26,,0,,,,5,,,no,,,
236,Joshua Perkins,TE,NYJ,13,TE202,41,26,,0,,,,,,,no,,,
237,Jalen Richard,RB,LV,13,RB146,19,26,,0,,,,,,,no,,,
238,Mitchell Trubisky,QB,TEN,9,QB88,19,26,,0,,,,3,,,no,,,Questionable
239,Deshaun Watson,QB,CLE,11,QB39,9,26,,0,,,,1,,,no,,,
240,David Njoku,TE,LAC,7,TE25,6,26,,0,,,,2,,,no,,,
241,Cooper Kupp,WR,SEA,11,WR97,13,26,,0,,,,3,,,no,,,
242,Mo Alie-Cox,TE,IND,13,TE99,21,26,,0,,,,2,,,no,,,
243,Evan Engram,TE,DEN,10,TE78,17,26,,0,,,,1,,,no,,,
244,Zay Jones,WR,HOU,8,WR173,23,26,,0,,,,9,,,no,,,
245,James Conner,RB,ARI,14,RB62,9,26,,0,,,,3,,,no,,,Questionable
246,Jonnu Smith,TE,GB,11,TE67,14,26,,0,,,,5,,,no,,,
247,Samaje Perine,RB,CIN,6,RB93,13,26,,0,,,,2,,,no,,,
248,Mack Hollins,WR,NE,11,WR326,42,26,,0,,,,4,,,no,,,
249,Joshua Dobbs,QB,DET,6,QB111,23,26,,0,,,,2,,,no,,,
250,Eric Saubert,TE,SEA,11,TE115,24,26,,0,,,,4,,,no,,,
